sample_id,ABLIM1_T,AC004687.1_T,AC004817.3_T,AL359834.1_T,AL606807.1_T,ANKRD28_T,BAX_T,BHLHE40_T,CBLB_T,CCNH_T,CEMIP2_T,CH25H_T,CSF2_T,CTLA4_T,CYSLTR1_T,DTHD1_T,ERN1_T,GABPB1-AS1_T,GLIPR1_T,GNG4_T,IER2_T,IGKC_T,IKZF4_T,IL6ST_T,IRF1_T,JUN_T,JUNB_T,LINC01943_T,LINC02099_T,LINC02273_T,MNDA_T,NFKBIA_T,NR3C1_T,NR4A2_T,OGFRL1_T,PELI1_T,PMAIP1_T,PRDM1_T,RGS1_T,RGS16_T,SLA_T,SOCS3_T,SYTL3_T,TAGAP_T,TGIF1_T,TNF_T,TNFAIP3_T,TNFRSF10D_T,TNFRSF11A_T,TNFSF14_T,TSC22D3_T,TSPYL2_T,TXNIP_T,ZBTB32_T,ZFP36_T,ZFP36L1_T,AASDH_M,ABCF1_M,ABHD4_M,APOL4_M,ARMCX1_M,ATP10D_M,ATP2A3_M,ATP5F1E_M,ATP5MC3_M,BCOR_M,C3AR1_M,CCDC57_M,CCDC88C_M,CD300A_M,CD40_M,CDK5RAP3_M,CLEC2D_M,COX5A_M,COX5B_M,COX6B1_M,CTDSP1_M,CYB561D1_M,DNAJC8_M,DUSP6_M,EPHB2_M,F8A1_M,FAAP100_M,FGR_M,FIG4_M,FLVCR1_M,GNG5_M,GPR183_M,GRINA_M,GZF1_M,HCAR3_M,HIGD2A_M,HIPK2_M,HS3ST1_M,IBTK_M,IDS_M,ITPKC_M,KCTD5_M,KLF13_M,KLF9_M,KRT15_M,LINC02001_M,LRRC57_M,LZTFL1_M,MIR4458HG_M,MMP17_M,MT2A_M,MYOF_M,NANS_M,NDE1_M,NF1_M,NFE2L1_M,NFYA_M,NPC2_M,NUP160_M,PDE12_M,PER1_M,PKMYT1_M,PRKCA_M,PRPF3_M,PRR14_M,PTGS2_M,PURA_M,RANBP6_M,RAP1GDS1_M,RCN1_M,RER1_M,RHOB_M,RHOH_M,RNF144B_M,ROBO3_M,ROCK2_M,SAMSN1_M,SAP30_M,SBNO1_M,SCO1_M,SEM1_M,SEPSECS_M,SLC1A3_M,SLC2A4RG_M,SLC30A5_M,SLC35D1_M,SMARCA5_M,SMARCC2_M,SND1_M,SNX16_M,SOS2_M,STAT6_M,TLR2_M,TMX2_M,TNFAIP3_M,TNNT1_M,TRIM66_M,TSC22D3_M,VMO1_M,ZBED6_M,ZBTB7B_M,ZFP64_M,ZMYM1_M,ZNF41_M,ZNF653_M,ZNF823_M,AC084871.2_M,KCNE1_M,treatment,patient_id
BIOKEY_16_Pre,145.14761,386.51886,99.95024,593.9051,540.7989,285.86972,1314.8701,1131.745,1553.8528,791.3521,1348.8899,16.267012,253.38939,3100.7961,738.3871,248.96805,326.63644,443.45813,525.27563,559.57825,1502.1101,1445.5472,383.13727,2243.6768,1073.9222,2000.9906,5882.5967,1192.7854,105.98714,0.0,27.83159,3152.3374,4568.2,1292.4607,69.97286,705.4955,457.00925,1172.0747,3450.2366,307.17664,2287.8389,604.98065,532.312,890.655,614.2394,1124.092,2376.7637,42.908173,0.0,318.4899,4508.629,433.54025,2854.6272,71.67211,2441.8284,4529.303,20.79021,104.95845,8.760322,33.286617,12.498774,46.16738,31.217722,1162.5264,410.52026,41.71435,195.21147,49.19124,34.16438,174.76476,117.07236,70.47477,32.0879,361.92288,471.12543,511.83884,99.88913,18.31435,137.26582,356.40216,45.943798,18.36891,25.426348,295.01688,17.34036,12.927384,750.54816,190.17604,471.62735,50.469097,87.04017,358.8538,92.54395,58.392166,69.09222,251.96321,1.8769842,33.33548,92.54357,67.13449,2.2714815,11.938414,23.165958,6.1552052,14.876846,13.477382,938.9605,228.8373,89.72266,39.523506,84.99006,97.94771,16.072235,834.3511,62.010643,46.75184,88.23089,3.4295304,26.45169,35.826412,57.215256,103.8854,39.765064,24.842949,75.57341,81.17537,185.99083,246.85881,49.598835,82.67523,16.024807,53.248173,183.78046,66.67975,75.43548,27.62725,353.59247,21.609365,80.06926,23.442732,56.818256,9.302189,141.71602,76.913895,113.552734,9.82845,41.67918,133.25426,211.0295,45.48553,528.87646,16.045095,5.3403225,287.79996,55.278168,5.571636,31.89174,14.285622,15.575009,16.425257,5.8720093,7.8203464,16.15985,25.026783,0,BIOKEY_16
BIOKEY_16_On,220.96298,155.60034,227.0774,406.623,322.57016,576.4759,1868.7582,817.0093,1773.8451,991.96625,1451.865,305.32745,62.701744,3007.8215,384.15512,435.26416,616.1592,621.97675,855.34344,869.64087,871.8336,732.8406,301.13416,2836.493,924.34875,1904.8234,3304.5938,1628.0145,206.41467,78.53503,53.88414,4382.2666,3368.1807,357.68042,252.65778,1129.1101,608.13306,2053.8994,3995.3738,95.10699,3008.762,276.28464,824.9127,1367.6206,869.2225,483.65283,2744.723,87.84708,3.8534694,110.11135,4298.571,994.8124,4096.065,136.81165,3376.727,2484.6921,8.464995,102.34121,1.4576868,65.00944,8.442359,44.55447,14.164861,1114.232,509.76907,40.782143,216.24126,40.361965,15.708725,226.83707,156.00305,98.48659,25.77623,442.38092,571.0049,639.95447,93.56218,4.0737076,187.3981,174.31287,24.69732,17.479721,29.820898,341.2895,36.51888,20.855137,796.62463,206.72728,496.92764,38.67205,31.183533,417.09158,54.894424,30.578514,63.896122,196.83836,17.451788,39.84299,47.3736,97.73413,4.747841,9.81506,25.939959,3.4997978,5.845222,1.1811223,1029.8939,283.67612,148.37244,42.44454,70.44968,67.385666,15.82298,870.228,41.69047,34.95686,200.70236,1.74623,14.535138,41.47882,42.225826,72.26088,35.73185,22.329985,92.47663,85.07944,220.96454,394.8586,64.610825,121.67233,9.309449,48.814514,205.7613,134.14195,46.76272,43.863686,374.10892,14.984023,162.54085,15.47176,51.71999,3.8920097,114.420685,58.246082,117.592804,3.348412,30.54878,130.34497,215.88835,68.60994,617.14166,17.041191,3.5997694,461.58163,25.019604,5.1670747,40.41226,7.937244,17.44364,9.423413,0.0,1.4457667,72.359856,46.330273,1,BIOKEY_16
BIOKEY_14_Pre,282.017,468.9813,0.0,404.81186,462.00864,248.65332,1969.6627,1085.725,439.8979,547.5314,1376.6819,0.0,535.6125,1340.6698,688.13745,142.81491,0.0,459.80865,611.7027,1211.2632,2290.9612,688.3178,772.26105,1303.7039,1814.8966,1103.8575,7408.167,758.46826,0.0,0.0,0.0,3835.289,4211.525,2224.576,117.758064,679.6651,349.67798,156.25392,1524.5365,485.25613,2689.601,1033.3425,175.54028,396.56628,680.7232,1382.771,2124.2236,0.0,0.0,312.8094,3395.7234,677.50073,2635.104,0.0,1915.8068,6051.4004,50.865913,118.285965,0.0,0.0,18.686546,57.657726,0.0,987.7572,446.57043,20.932404,45.90135,58.51065,128.87798,191.01001,18.686546,80.024536,18.686546,368.2846,530.7703,577.2106,156.17314,16.75762,203.69348,231.49077,20.123692,30.742224,27.214802,473.9673,27.214802,15.245327,582.62036,87.1452,379.77194,51.33035,142.35158,452.97348,88.67232,58.19282,93.28109,278.01178,0.0,31.295847,159.3304,74.95044,25.108593,43.972424,60.028175,16.75762,0.0,30.742224,336.28394,91.86249,112.15239,94.04591,46.792744,86.573906,52.869583,672.73505,47.49984,48.728687,73.05904,0.0,25.654781,15.245327,36.881313,286.86118,70.71248,0.0,15.245327,47.49984,240.71642,300.04102,26.221756,97.40068,0.0,45.232285,259.14728,25.654781,73.78583,0.0,403.11337,32.80814,0.0,25.291107,92.45074,0.0,124.988716,57.262173,131.27832,18.686546,43.977657,206.45146,239.83296,0.0,549.758,60.55276,0.0,358.89847,27.214802,0.0,109.376564,25.291107,15.245327,0.0,0.0,0.0,0.0,57.957027,0,BIOKEY_14
BIOKEY_14_On,425.85977,374.8757,173.15758,0.0,328.0324,610.99304,2672.5017,1045.3457,1148.5785,1112.9717,2546.6238,949.2911,0.0,2879.5378,547.2346,142.24252,999.78284,853.2349,711.7882,1239.6969,1052.4193,83.388756,155.64189,3303.419,1017.7791,945.00165,5957.0674,1238.4474,0.0,0.0,0.0,5044.7407,3935.535,1253.9783,215.43275,1159.369,958.45734,1466.5939,3048.4329,311.87305,3187.2517,372.33124,448.3706,1638.3397,1201.9849,618.69086,2301.436,123.76117,0.0,230.97842,5777.9214,1867.9229,5635.741,97.51956,4861.408,2380.544,34.3628,40.665802,0.0,0.0,16.551146,16.551146,0.0,1172.9529,623.1978,0.0,95.26269,0.0,105.444855,389.3301,108.125206,207.04588,0.0,470.38712,675.6591,740.6286,133.7799,0.0,288.8311,115.04953,0.0,18.805616,0.0,438.06778,56.372604,35.622322,697.4287,245.9692,603.31335,18.805616,0.0,514.46356,79.34244,49.360165,27.448904,222.19841,0.0,85.203766,96.988686,77.56079,0.0,42.04444,42.343258,0.0,0.0,27.448904,844.62646,166.1099,144.04805,50.58716,16.551146,62.469475,15.557185,841.6769,0.0,23.138256,177.90323,0.0,0.0,42.43403,21.803673,168.10509,23.138256,0.0,43.369427,76.44284,233.13765,368.33136,37.36086,148.63547,0.0,26.876842,272.9699,128.25432,39.82146,0.0,515.8093,16.551146,134.18233,0.0,46.990265,0.0,44.941933,0.0,148.68944,0.0,40.403156,135.21077,251.38559,68.54494,694.56415,36.43661,0.0,563.321,0.0,0.0,86.68908,21.803673,0.0,0.0,0.0,0.0,119.04695,103.393974,1,BIOKEY_14
BIOKEY_28_Pre,97.65887,826.59766,242.45087,427.83997,589.47034,452.5072,1080.4596,2211.9756,1567.0148,543.88385,939.54144,0.0,712.58075,2977.5193,616.2699,106.14442,236.63878,381.29553,780.9116,110.31553,2349.7253,1581.3752,488.25418,666.7458,1296.7734,4123.4434,5704.9653,927.8804,11.220606,0.0,0.0,1900.7595,3543.3855,1472.7375,0.0,369.15048,385.5308,1174.5867,3210.3037,842.4486,1887.2487,792.21545,843.6704,715.02655,773.2836,1248.3383,2527.8455,20.433136,0.0,282.9901,3287.8958,365.40793,1210.2982,83.338974,2403.7744,5416.185,51.7591,94.216805,15.095019,67.82511,26.34612,54.98891,25.504156,1190.131,591.18304,26.661987,114.30172,58.936752,22.0866,228.8821,114.91213,73.49939,29.501432,493.83844,590.5674,634.58484,100.39444,15.122077,181.31175,315.13608,26.101067,18.883749,26.704597,249.2821,4.334218,0.0,755.23596,178.11314,485.29932,41.26364,138.7707,359.46426,116.88596,40.01493,69.83237,177.04103,0.0,31.04837,129.917,31.24669,0.0,17.2304,24.995943,15.934051,20.801521,10.465392,767.0735,188.5397,159.13808,62.778263,48.20538,67.320526,33.33302,856.2599,21.464216,25.31459,40.070415,7.186832,53.700912,27.526344,50.65585,147.7197,47.178318,16.042334,40.84126,28.193462,262.92368,333.19772,21.264639,77.71725,17.273958,31.212614,108.15029,0.0,91.94947,13.502354,353.31735,14.652455,7.2820783,31.194042,59.49886,7.509519,146.5064,77.76457,117.20756,4.334218,19.212723,210.4633,114.02431,42.549896,395.9462,85.622246,10.419008,238.66425,30.28034,18.869064,83.64794,6.632622,19.929193,16.238274,22.089607,8.003987,0.0,0.0,0,BIOKEY_28
BIOKEY_28_On,218.4689,273.97125,516.2374,110.89155,443.86847,1166.3494,1439.3931,1912.4481,1851.8657,973.22516,1452.7847,109.06447,286.04965,3748.243,251.08128,289.89496,767.6984,649.37524,1247.7922,423.46588,1044.6289,125.457695,205.29068,1540.4186,680.6759,1879.2491,4929.111,2588.7285,43.027447,88.82187,29.951443,4524.954,2895.885,447.07925,93.80607,1189.2577,333.575,3360.2034,4940.317,256.5181,2825.7861,566.7348,1328.7626,771.8751,1196.8713,526.74615,3448.2595,58.17351,7.4042974,63.953312,5051.3975,453.1634,3932.062,129.78288,4124.5957,2329.8203,11.029617,63.423954,9.406441,65.791405,17.219028,12.35305,19.158375,1273.0348,690.9672,16.155254,151.4908,46.058964,5.813794,309.9135,214.15977,103.260956,14.618959,566.68616,708.7768,812.1666,97.83296,1.1423111,206.68423,126.25192,7.6306496,15.134092,21.59229,367.2635,29.77231,1.9121174,846.2157,267.436,578.69556,25.853933,59.979443,456.5245,91.91098,22.35043,51.981472,157.43677,13.164451,35.21814,33.41968,57.516068,0.72011185,9.847031,12.808477,11.1963,10.435503,6.987815,1342.7286,259.29813,193.59566,23.03398,42.02761,49.48943,11.6498165,1028.4591,15.332273,21.872614,192.48038,4.5107865,16.940647,58.802296,55.124832,104.14204,18.794086,8.508481,66.24824,57.810143,269.74725,356.50656,72.69878,179.25415,5.9456406,36.480183,175.74817,50.46427,44.34661,36.02217,413.50095,7.915162,56.567455,36.46104,37.584503,2.373963,84.105125,40.570717,137.00803,3.7184417,15.8571005,154.82462,147.3532,74.08414,453.0424,74.53516,2.4220939,457.59457,15.753556,6.5600066,27.985737,4.864817,8.556459,5.939598,2.4942036,0.8106054,23.958563,34.421364,1,BIOKEY_28
BIOKEY_15_Pre,263.72733,648.1586,117.59973,513.60785,679.8624,188.18066,1451.3575,2226.6077,1474.7102,537.709,845.9511,13.199756,436.23273,2315.7354,515.55927,167.30167,247.46655,493.30713,1085.0712,565.0249,1830.204,828.874,549.75616,564.7117,2023.6733,3993.2612,5413.3467,1591.0199,75.98603,26.11857,0.0,2400.9387,3221.338,1114.5688,51.646385,500.1875,360.95187,1102.9833,3352.1113,737.51227,1807.7035,778.5118,625.1761,559.7454,691.0884,1019.8279,2379.96,0.0,6.6161513,241.00989,2070.8152,466.12512,967.45105,104.457214,2546.6282,4918.2754,11.742673,80.28247,7.561728,36.002945,12.654197,39.759277,33.676823,1035.804,502.6561,26.438244,144.84422,66.40594,17.867283,224.7456,237.34175,142.02489,34.89211,460.58377,587.2923,629.49445,102.00185,14.5272045,193.02359,175.99448,20.083078,13.001853,28.500237,335.78577,36.971565,4.1251063,773.9731,188.51582,521.68225,32.98455,104.219475,489.20023,52.728146,85.995224,81.80784,170.8051,10.032465,54.689693,70.280495,19.09989,22.582146,32.417435,29.01672,3.194394,7.0578337,21.867332,632.2403,153.84705,121.342514,57.394215,47.349026,65.80422,18.28751,786.61743,56.330986,27.937359,35.91743,3.2207355,16.584915,35.90581,61.802326,90.72071,58.01541,7.0093017,57.30476,72.62717,270.44193,313.83585,42.37005,97.245,18.778778,52.401443,145.36278,17.404562,72.7068,18.331163,336.2561,20.791384,52.313442,43.004856,62.98285,2.5146878,157.89609,66.89028,81.528656,4.296386,25.983685,206.81262,101.083275,60.634666,394.26733,13.411247,12.316,213.03276,43.03322,9.926426,60.431194,8.627186,12.058518,21.619247,4.440584,6.751485,11.60065,1.8265198,0,BIOKEY_15
